id,percent_disorder,num_disorder_segments
A0A3B0XHN3_0_1,0.05811138014527845,6
A0A1G0AW29_1_1,0.1595744680851064,12
A0A1G0AW29_2_1,0.2531914893617021,17
A0A1G0AW29_3_1,0.20425531914893616,11
Q59462_4_1,0.17494600431965443,11
Q59462_5_1,0.27213822894168466,13
U3U4M7_6_1,0.14285714285714285,9
A0A1G0AW29_7_1,0.11914893617021277,8
A0A1G0AW29_8_1,0.1574468085106383,11
A0A1G0AW29_9_1,0.16382978723404254,7
A0A1G0AW29_10_1,0.18085106382978725,12
A0A1G0AW29_11_1,0.22127659574468084,12
A0A1G0AW29_12_1,0.1702127659574468,8
A0A1G0AW29_13_1,0.19574468085106383,10
A0A1G0AW29_14_1,0.2148936170212766,12
Q8RTI1_15_1,0.20950323974082075,15
A0A7C9QRF1_16_1,0.15010570824524314,8
F2ZCD4_17_1,0.10831234256926953,7
A0A1G0AW29_18_1,0.16808510638297872,10
A0A3B0XHN3_19_1,0.07021791767554479,9
A0A3B0XHN3_20_1,0.12590799031476999,12
A0A3B0XHN3_21_1,0.07021791767554479,10
A0A7V8AB38_22_1,0.11713665943600868,8
A0A7V8AB38_23_1,0.22342733188720174,15
A0A7C5IYL6_24_1,0.050724637681159424,2
A0A1W6AQ46_25_1,0.022670025188916875,8
A0A3B0XHN3_26_1,0.03389830508474576,5
A0A7V8AB38_27_1,0.14533622559652928,9
A0A1G0AW29_28_1,0.1574468085106383,7
A0A3N1XWA5_29_1,0.1630901287553648,4
A0A1G0AW29_30_1,0.16170212765957448,11
A0A2K8KYS9_31_1,0.14225053078556263,10
A0A2K8KYS9_32_1,0.18471337579617833,17
A0A3N1XWA5_33_1,0.13090128755364808,5
A0A1G0AW29_34_1,0.16595744680851063,13
A0A075IPP2_35_1,0.07017543859649122,6
A0A3N1XWA5_36_1,0.18669527896995708,10
A0A1G0AW29_37_1,0.3170212765957447,21
A0A1G0AW29_38_1,0.14680851063829786,10
A0A1G0AW29_39_1,0.22127659574468084,13
A0A1G0AW29_40_1,0.2425531914893617,20
A0A1G0AW29_41_1,0.20638297872340425,10
A0A3N1XWA5_42_1,0.20600858369098712,11
A0A3N1XWA5_43_1,0.1630901287553648,11
A0A075IPR4_44_1,0.14105793450881612,17
A0A1G0AW29_45_1,0.1148936170212766,6
A0A1G0AW29_46_1,0.13829787234042554,8
I4DDJ6_47_2,0.13032581453634084,11
A0A3M2BFW8_48_2,0.13675213675213677,5
A0A933USX4_49_2,0.15236051502145923,8
Q31IK3_50_2,0.11879049676025918,4
A0A948EPL6_51_2,0.048426150121065374,2
A0A948EPL6_52_2,0.04116222760290557,4
A0A948EPL6_53_2,0.031476997578692496,5
A0A3E1R697_54_2,0.11231101511879049,6
A0A0T5Z1X2_55_2,0.17204301075268819,13
A0A661FXI3_56_2,0.19827586206896552,14
A0A962DV06_57_2,0.2159827213822894,10
A0A2A4WCC7_58_2,0.15948275862068967,9
UPI000570971D_59_2,0.2548596112311015,11
A0A3B0XHN3_60_2,0.07263922518159806,5
A0A3B0XHN3_61_2,0.05569007263922518,3
A0A3B0XHN3_62_2,0.06537530266343826,3
A0A3M2BFW8_63_2,0.22863247863247863,11
A0A7C6EZB3_64_2,0.20905172413793102,8
A0A948EPL6_65_2,0.14285714285714285,14
A0A948EPL6_66_2,0.07263922518159806,11
A0A7X7ZGQ9_67_2,0.1511879049676026,7
UPI0005EB8F6C_68_2,0.13948497854077252,5
Q21YM9_69_2,0.11879049676025918,5
A0A7V7WQB9_70_2,0.21382289416846653,12
A0A948EPL6_71_2,0.08716707021791767,8
A0A2K8L348_72_2,0.18936170212765957,11
V6EXN2_73_2,0.12121212121212122,4
V6EXN2_74_2,0.1471861471861472,7
I4DDN7_75_2,0.11809045226130653,10
A0A948EPL6_76_2,0.07021791767554479,7
I4DDN7_77_2,0.07788944723618091,8
I4DDN7_78_2,0.02763819095477387,5
I4DDN7_79_2,0.02512562814070352,3
A0A948EPL6_80_2,0.048426150121065374,7
I4DDN7_81_2,0.05778894472361809,8
A0A948EPL6_82_2,0.026634382566585957,2
I4DDN7_83_2,0.020100502512562814,4
A0A1G0AW29_84_2,0.19361702127659575,8
A0A948EPL6_85_2,0.10653753026634383,9
A0A3M1HUI7_86_2,0.11940298507462686,8
A0A1G0AW29_87_2,0.20425531914893616,9
A0A1G0AW29_88_2,0.1702127659574468,15
A0A1G0AW29_89_2,0.20212765957446807,11
A0A1G0AW29_90_2,0.14893617021276595,11
A0A075IPP2_91_2,0.047619047619047616,9
A0A075IPP2_92_2,0.015037593984962405,4
A0A075IPP2_93_2,0.047619047619047616,6
A0A075IPP2_94_2,0.08521303258145363,8
A0A075IPP2_95_2,0.02506265664160401,4
A0A075IPP2_96_2,0.03508771929824561,3
D9SHP6_97_2,0.16170212765957448,13
D9SHP6_98_2,0.14042553191489363,7
D9SHP6_99_2,0.25957446808510637,13
A0A0G4EI01_100_2,0.4088586030664395,17
A0A1G0AW29_101_2,0.14893617021276595,7
A0A1G0AW29_102_2,0.14042553191489363,8
A0A1G0AW29_103_2,0.15531914893617021,9
D9SHP6_104_2,0.13617021276595745,6
D9SHP6_105_2,0.19574468085106383,11
A0A3B0XHN3_106_2,0.11864406779661017,11
D9SHP6_107_2,0.1425531914893617,6
A0A1G0AW29_108_2,0.19787234042553192,14
A0A948EPL6_109_2,0.07990314769975787,4
A0A3M2BFW8_110_2,0.18803418803418803,10
A0A3M2BFW8_111_2,0.1794871794871795,4
A0A075IVF1_112_2,0.05289672544080604,5
UPI0021E97E19_113_2,0.19782608695652174,10
A0A1G0AW29_114_2,0.2425531914893617,14
A0A1G0AW29_115_2,0.24680851063829787,13
A0A1G0AW29_116_2,0.12978723404255318,5
A0A1G0AW29_117_2,0.18085106382978725,15
A0A1G0AW29_118_2,0.16595744680851063,10
A0A948EPL6_119_2,0.048426150121065374,4
A0A1G0AW29_120_2,0.14680851063829786,11
A0A1G0AW29_121_2,0.12127659574468085,4
A0A075IPN0_122_2,0.03526448362720403,4
A0A075IPN0_123_2,0.022670025188916875,2
UPI00056DDB62_124_2,0.1734475374732334,10
A0A1G0AW29_125_2,0.17659574468085107,12
A0A1G0AW29_126_2,0.20425531914893616,13
A0A1G0AW29_127_2,0.1127659574468085,3
D9SHP6_128_2,0.16382978723404254,11
A0A661E1C3_129_2,0.23326133909287258,6
A0A948EPL6_130_2,0.04116222760290557,0
A0A2K8L348_131_2,0.2148936170212766,17
A0A1G0AW29_132_2,0.11914893617021277,6
A0A075IPP2_133_2,0.017543859649122806,4
A0A075IPP2_134_2,0.017543859649122806,6
A0A075IPP2_135_2,0.045112781954887216,8
A0A075IPP2_136_2,0.09774436090225563,14
A0A075IPP2_137_2,0.05012531328320802,7
A0A075IPP2_138_2,0.015037593984962405,2
A0A075IPP2_139_2,0.022556390977443608,4
A0A075IPP2_140_2,0.03759398496240601,8
A0A075IPP2_141_2,0.02756892230576441,4
A0A075IPP2_142_2,0.03007518796992481,3
A0A1G0AW29_143_2,0.10212765957446808,5
A0A2K8L348_144_2,0.1127659574468085,5
A0A1G0AW29_145_2,0.20638297872340425,12
A0A1G0AW29_146_2,0.3021276595744681,14
A0A1G0AW29_147_2,0.17446808510638298,11
A0A1G0AW29_148_2,0.1425531914893617,7
A0A075IPP2_149_2,0.040100250626566414,4
A0A075IPP2_150_2,0.08521303258145363,6
A0A1G0AW29_151_2,0.18936170212765957,12
A0A1G0AW29_152_2,0.12978723404255318,9
A0A075IPP2_153_2,0.02756892230576441,4
A0A1G0AW29_154_2,0.16382978723404254,14
A0A2K8L348_155_2,0.1595744680851064,8
A0A075IPP2_156_2,0.07769423558897243,10
A0A075IPP2_157_2,0.010025062656641603,2
A0A075IPP2_158_2,0.05513784461152882,7
A0A1G0AW29_159_2,0.1574468085106383,14
A0A1G0AW29_160_2,0.13617021276595745,5
A0A2K8L348_161_2,0.12340425531914893,9
A0A1G0AW29_162_2,0.18936170212765957,12
A0A1G0AW29_163_2,0.22340425531914893,8
A0A2K8L348_164_2,0.18723404255319148,17
A0A075IPP2_165_2,0.06015037593984962,11
A0A1G0AW29_166_2,0.10425531914893617,9
A0A075IPP2_167_2,0.12781954887218044,9
A0A1G0AW29_168_2,0.13829787234042554,6
A0A1G0AW29_169_2,0.26595744680851063,17
A0A1G0AW29_170_2,0.2,8
A0A1G0AW29_171_2,0.2297872340425532,20
A0A1G0AW29_172_2,0.16170212765957448,14
A0A075IPP2_173_3,0.012531328320802004,5
A0A075IPP2_174_3,0.08270676691729323,9
A0A3M2BFW8_175_3,0.1452991452991453,10
A0A3M2BFW8_176_3,0.14957264957264957,7
A0A3M2BFW8_177_3,0.16025641025641027,10
A0A2K8L348_178_3,0.10212765957446808,6
A0A075IPP2_179_3,0.18295739348370926,15
A0A075IPP2_180_3,0.042606516290726815,7
A0A3M2BFW8_181_3,0.17735042735042736,17
A0A2K8L348_182_3,0.15531914893617021,8
A0A075IPP2_183_3,0.06516290726817042,6
A0A1G0AW29_184_3,0.16808510638297872,13
A0A075IPP2_185_3,0.05513784461152882,8
A0A075IPP2_186_3,0.06766917293233082,6
A0A3M2BFW8_187_3,0.18376068376068377,11
A0A3M2BFW8_188_3,0.27350427350427353,15
A0A3M2BFW8_189_3,0.13675213675213677,7
A0A3M2BFW8_190_3,0.18803418803418803,7
A0A1G0AW29_191_3,0.1425531914893617,7
A0A1G0AW29_192_3,0.2425531914893617,9
A0A1G0AW29_193_3,0.21063829787234042,18
A0A1G0AW29_194_3,0.14042553191489363,7
